sweep,variant,nx,ny,niter,num_gpus,run_id,runtime_s,runtime_serial_s,extra
B,nccl,8192,16384,1000,8,1,0.134387,0.763390,
B,nccl,8192,16384,1000,8,2,0.140528,0.765261,
B,nccl,8192,16384,1000,8,3,0.137389,0.762933,
B,nccl_graphs,8192,16384,1000,8,1,0.127295,0.767393,
B,nccl_graphs,8192,16384,1000,8,2,0.126631,0.765140,
B,nccl_graphs,8192,16384,1000,8,3,0.151467,0.766422,
B,nvshmem,8192,16384,1000,8,1,0.146072,0.894287,
B,nvshmem,8192,16384,1000,8,2,0.143179,0.892709,
B,nvshmem,8192,16384,1000,8,3,0.143571,0.893773,
B,nvshmem_block_nbsync,8192,16384,1000,8,1,0.145804,0.894415,block,nbsync
B,nvshmem_block_nbsync,8192,16384,1000,8,2,0.150961,0.894016,block,nbsync
B,nvshmem_block_nbsync,8192,16384,1000,8,3,0.146817,0.890712,block,nbsync
B,nccl,16384,16384,1000,8,1,0.234113,1.512472,
B,nccl,16384,16384,1000,8,2,0.234344,1.511556,
B,nccl,16384,16384,1000,8,3,0.239810,1.512698,
B,nccl_graphs,16384,16384,1000,8,1,0.254050,1.511519,
B,nccl_graphs,16384,16384,1000,8,2,0.219410,1.518085,
B,nccl_graphs,16384,16384,1000,8,3,0.216278,1.512500,
B,nvshmem,16384,16384,1000,8,1,0.253067,1.769289,
B,nvshmem,16384,16384,1000,8,2,0.258085,1.770782,
B,nvshmem,16384,16384,1000,8,3,0.254050,1.771670,
B,nvshmem_block_nbsync,16384,16384,1000,8,1,0.257434,1.771761,block,nbsync
B,nvshmem_block_nbsync,16384,16384,1000,8,2,0.260338,1.778439,block,nbsync
B,nvshmem_block_nbsync,16384,16384,1000,8,3,0.258177,1.771629,block,nbsync
A,single_gpu,16384,16384,1000,1,1,1.464465,1.464465,
A,single_gpu,16384,16384,1000,1,2,1.464522,1.464522,
A,single_gpu,16384,16384,1000,1,3,1.464833,1.464833,
