Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
256         32        int64     max       t         11.027200         0.023         0.020       
512         64        int64     max       t         11.155200         0.046         0.040       
1024        128       int64     max       t         11.190400         0.092         0.080       
2048        256       int64     max       t         11.097600         0.185         0.161       
4096        512       int64     max       t         11.148800         0.367         0.321       
8192        1024      int64     max       t         11.260800         0.727         0.637       
16384       2048      int64     max       t         11.164800         1.467         1.284       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     sum       w         11.977600         0.003         0.002       
64          16        int32     sum       w         11.862400         0.005         0.005       
128         32        int32     sum       w         11.926400         0.011         0.009       
256         64        int32     sum       w         11.910400         0.021         0.019       
512         128       int32     sum       w         12.300800         0.042         0.036       
1024        256       int32     sum       w         12.003200         0.085         0.075       
2048        512       int32     sum       w         12.208000         0.168         0.147       
4096        1024      int32     sum       w         12.150400         0.337         0.295       
8192        2048      int32     sum       w         12.009600         0.682         0.597       
16384       4096      int32     sum       w         12.729600         1.287         1.126       
32768       8192      int32     sum       w         12.057600         2.718         2.378       
65536       16384     int32     sum       w         11.907200         5.504         4.816       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     prod      w         11.753600         0.003         0.002       
64          16        int32     prod      w         11.756800         0.005         0.005       
128         32        int32     prod      w         11.884800         0.011         0.009       
256         64        int32     prod      w         11.884800         0.022         0.019       
512         128       int32     prod      w         11.779200         0.043         0.038       
1024        256       int32     prod      w         11.798400         0.087         0.076       
2048        512       int32     prod      w         11.779200         0.174         0.152       
4096        1024      int32     prod      w         12.064000         0.340         0.297       
8192        2048      int32     prod      w         12.025600         0.681         0.596       
16384       4096      int32     prod      w         11.811200         1.387         1.214       
32768       8192      int32     prod      w         12.035200         2.723         2.382       
65536       16384     int32     prod      w         11.817600         5.546         4.852       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     and       w         12.089600         0.003         0.002       
64          16        int32     and       w         12.092800         0.005         0.005       
128         32        int32     and       w         12.019200         0.011         0.009       
256         64        int32     and       w         12.086400         0.021         0.019       
512         128       int32     and       w         12.003200         0.043         0.037       
1024        256       int32     and       w         12.121600         0.084         0.074       
2048        512       int32     and       w         12.089600         0.169         0.148       
4096        1024      int32     and       w         12.028800         0.341         0.298       
8192        2048      int32     and       w         12.060800         0.679         0.594       
16384       4096      int32     and       w         12.064000         1.358         1.188       
32768       8192      int32     and       w         12.134400         2.700         2.363       
65536       16384     int32     and       w         12.022400         5.451         4.770       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     or        w         12.112000         0.003         0.002       
64          16        int32     or        w         12.028800         0.005         0.005       
128         32        int32     or        w         12.198400         0.010         0.009       
256         64        int32     or        w         12.201600         0.021         0.018       
512         128       int32     or        w         11.932800         0.043         0.038       
1024        256       int32     or        w         12.336000         0.083         0.073       
2048        512       int32     or        w         12.064000         0.170         0.149       
4096        1024      int32     or        w         12.387200         0.331         0.289       
8192        2048      int32     or        w         12.057600         0.679         0.594       
16384       4096      int32     or        w         12.064000         1.358         1.188       
32768       8192      int32     or        w         12.041600         2.721         2.381       
65536       16384     int32     or        w         12.022400         5.451         4.770       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     xor       w         12.092800         0.003         0.002       
64          16        int32     xor       w         12.102400         0.005         0.005       
128         32        int32     xor       w         12.025600         0.011         0.009       
256         64        int32     xor       w         12.044800         0.021         0.019       
512         128       int32     xor       w         12.000000         0.043         0.037       
1024        256       int32     xor       w         12.025600         0.085         0.075       
2048        512       int32     xor       w         12.198400         0.168         0.147       
4096        1024      int32     xor       w         12.080000         0.339         0.297       
8192        2048      int32     xor       w         12.044800         0.680         0.595       
16384       4096      int32     xor       w         12.064000         1.358         1.188       
32768       8192      int32     xor       w         12.060800         2.717         2.377       
65536       16384     int32     xor       w         12.051200         5.438         4.758       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     min       w         12.044800         0.003         0.002       
64          16        int32     min       w         12.326400         0.005         0.005       
128         32        int32     min       w         12.041600         0.011         0.009       
256         64        int32     min       w         12.316800         0.021         0.018       
512         128       int32     min       w         12.374400         0.041         0.036       
1024        256       int32     min       w         11.984000         0.085         0.075       
2048        512       int32     min       w         12.009600         0.171         0.149       
4096        1024      int32     min       w         11.996800         0.341         0.299       
8192        2048      int32     min       w         12.057600         0.679         0.594       
16384       4096      int32     min       w         12.147200         1.349         1.180       
32768       8192      int32     min       w         11.990400         2.733         2.391       
65536       16384     int32     min       w         12.060800         5.434         4.755       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     max       w         12.060800         0.003         0.002       
64          16        int32     max       w         12.118400         0.005         0.005       
128         32        int32     max       w         12.041600         0.011         0.009       
256         64        int32     max       w         12.054400         0.021         0.019       
512         128       int32     max       w         12.073600         0.042         0.037       
1024        256       int32     max       w         12.121600         0.084         0.074       
2048        512       int32     max       w         12.112000         0.169         0.148       
4096        1024      int32     max       w         11.990400         0.342         0.299       
8192        2048      int32     max       w         12.304000         0.666         0.583       
16384       4096      int32     max       w         12.025600         1.362         1.192       
32768       8192      int32     max       w         12.003200         2.730         2.389       
65536       16384     int32     max       w         12.057600         5.435         4.756       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          8         int64     sum       w         11.958400         0.005         0.005       
128         16        int64     sum       w         11.964800         0.011         0.009       
256         32        int64     sum       w         12.006400         0.021         0.019       
512         64        int64     sum       w         12.022400         0.043         0.037       
1024        128       int64     sum       w         12.025600         0.085         0.075       
2048        256       int64     sum       w         11.964800         0.171         0.150       
4096        512       int64     sum       w         11.939200         0.343         0.300       
8192        1024      int64     sum       w         11.926400         0.687         0.601       
16384       2048      int64     sum       w         11.952000         1.371         1.199       
32768       4096      int64     sum       w         12.067200         2.715         2.376       
