Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     xor       w         43.750399         0.001         0.001       
64          16        int32     xor       w         42.412800         0.002         0.003       
128         32        int32     xor       w         42.515200         0.003         0.006       
256         64        int32     xor       w         43.935999         0.006         0.011       
512         128       int32     xor       w         45.401600         0.011         0.021       
1024        256       int32     xor       w         50.463998         0.020         0.038       
2048        512       int32     xor       w         60.281599         0.034         0.064       
4096        1024      int32     xor       w         81.657600         0.050         0.094       
8192        2048      int32     xor       w         119.193602        0.069         0.129       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       w         42.912000         0.000         0.000       
8           2         int32     min       w         43.942401         0.000         0.000       
16          4         int32     min       w         42.329600         0.000         0.001       
32          8         int32     min       w         42.329600         0.001         0.001       
64          16        int32     min       w         42.432001         0.002         0.003       
128         32        int32     min       w         43.801600         0.003         0.005       
256         64        int32     min       w         43.814400         0.006         0.011       
512         128       int32     min       w         45.548800         0.011         0.021       
1024        256       int32     min       w         50.540799         0.020         0.038       
2048        512       int32     min       w         61.939198         0.033         0.062       
4096        1024      int32     min       w         79.878402         0.051         0.096       
8192        2048      int32     min       w         119.142401        0.069         0.129       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       w         43.859199         0.000         0.000       
8           2         int32     max       w         44.089600         0.000         0.000       
16          4         int32     max       w         43.948799         0.000         0.001       
32          8         int32     max       w         42.022401         0.001         0.001       
64          16        int32     max       w         42.259201         0.002         0.003       
128         32        int32     max       w         40.799999         0.003         0.006       
256         64        int32     max       w         43.891200         0.006         0.011       
512         128       int32     max       w         45.465600         0.011         0.021       
1024        256       int32     max       w         50.425601         0.020         0.038       
2048        512       int32     max       w         60.192001         0.034         0.064       
4096        1024      int32     max       w         81.632000         0.050         0.094       
8192        2048      int32     max       w         119.334400        0.069         0.129       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       w         43.846399         0.000         0.000       
16          2         int64     sum       w         42.208001         0.000         0.001       
32          4         int64     sum       w         42.131200         0.001         0.001       
64          8         int64     sum       w         42.348799         0.002         0.003       
128         16        int64     sum       w         42.412800         0.003         0.006       
256         32        int64     sum       w         40.601599         0.006         0.012       
512         64        int64     sum       w         45.536000         0.011         0.021       
1024        128       int64     sum       w         45.356801         0.023         0.042       
2048        256       int64     sum       w         50.585598         0.040         0.076       
4096        512       int64     sum       w         61.900800         0.066         0.124       
8192        1024      int64     sum       w         81.593603         0.100         0.188       
16384       2048      int64     sum       w         122.579205        0.134         0.251       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     prod      w         45.446399         0.000         0.000       
16          2         int64     prod      w         42.432001         0.000         0.001       
32          4         int64     prod      w         42.355201         0.001         0.001       
64          8         int64     prod      w         42.169601         0.002         0.003       
128         16        int64     prod      w         42.399999         0.003         0.006       
256         32        int64     prod      w         42.182401         0.006         0.011       
512         64        int64     prod      w         42.425600         0.012         0.023       
1024        128       int64     prod      w         45.683199         0.022         0.042       
2048        256       int64     prod      w         53.728002         0.038         0.071       
4096        512       int64     prod      w         61.875200         0.066         0.124       
8192        1024      int64     prod      w         79.980803         0.102         0.192       
16384       2048      int64     prod      w         121.036804        0.135         0.254       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     and       w         42.368001         0.000         0.000       
16          2         int64     and       w         42.188799         0.000         0.001       
32          4         int64     and       w         42.534399         0.001         0.001       
64          8         int64     and       w         42.195201         0.002         0.003       
128         16        int64     and       w         42.329600         0.003         0.006       
256         32        int64     and       w         40.601599         0.006         0.012       
512         64        int64     and       w         42.323199         0.012         0.023       
1024        128       int64     and       w         47.071999         0.022         0.041       
2048        256       int64     and       w         52.185601         0.039         0.074       
4096        512       int64     and       w         62.022400         0.066         0.124       
8192        1024      int64     and       w         80.038399         0.102         0.192       
16384       2048      int64     and       w         119.219196        0.137         0.258       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     or        w         42.259201         0.000         0.000       
16          2         int64     or        w         42.284799         0.000         0.001       
32          4         int64     or        w         43.974400         0.001         0.001       
64          8         int64     or        w         41.356799         0.002         0.003       
128         16        int64     or        w         43.891200         0.003         0.005       
256         32        int64     or        w         42.233601         0.006         0.011       
512         64        int64     or        w         43.916801         0.012         0.022       
1024        128       int64     or        w         45.593601         0.022         0.042       
2048        256       int64     or        w         52.192003         0.039         0.074       
4096        512       int64     or        w         60.409600         0.068         0.127       
8192        1024      int64     or        w         81.619197         0.100         0.188       
16384       2048      int64     or        w         119.219196        0.137         0.258       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     xor       w         42.304000         0.000         0.000       
16          2         int64     xor       w         42.329600         0.000         0.001       
32          4         int64     xor       w         42.342401         0.001         0.001       
64          8         int64     xor       w         42.246401         0.002         0.003       
128         16        int64     xor       w         42.291200         0.003         0.006       
256         32        int64     xor       w         42.188799         0.006         0.011       
512         64        int64     xor       w         43.820801         0.012         0.022       
1024        128       int64     xor       w         45.388800         0.023         0.042       
2048        256       int64     xor       w         50.291198         0.041         0.076       
4096        512       int64     xor       w         60.512000         0.068         0.127       
8192        1024      int64     xor       w         81.625599         0.100         0.188       
16384       2048      int64     xor       w         119.155204        0.138         0.258       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     min       w         43.859199         0.000         0.000       
16          2         int64     min       w         42.943999         0.000         0.001       
32          4         int64     min       w         42.534399         0.001         0.001       
64          8         int64     min       w         42.240000         0.002         0.003       
128         16        int64     min       w         42.227200         0.003         0.006       
256         32        int64     min       w         42.092800         0.006         0.011       
512         64        int64     min       w         42.387199         0.012         0.023       
1024        128       int64     min       w         45.471999         0.023         0.042       
2048        256       int64     min       w         50.457603         0.041         0.076       
4096        512       int64     min       w         61.984003         0.066         0.124       
8192        1024      int64     min       w         83.135998         0.099         0.185       
16384       2048      int64     min       w         124.339199        0.132         0.247       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     max       w         42.131200         0.000         0.000       
16          2         int64     max       w         43.744001         0.000         0.001       
32          4         int64     max       w         42.265600         0.001         0.001       
64          8         int64     max       w         43.993601         0.001         0.003       
128         16        int64     max       w         42.432001         0.003         0.006       
256         32        int64     max       w         42.201599         0.006         0.011       
512         64        int64     max       w         42.111999         0.012         0.023       
1024        128       int64     max       w         45.433599         0.023         0.042       
2048        256       int64     max       w         51.968002         0.039         0.074       
4096        512       int64     max       w         61.913598         0.066         0.124       
8192        1024      int64     max       w         81.721598         0.100         0.188       
16384       2048      int64     max       w         122.560000        0.134         0.251       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       b         43.993601         0.000         0.000       
8           2         int32     sum       b         19.264001         0.000         0.001       
16          4         int32     sum       b         19.763200         0.001         0.002       
32          8         int32     sum       b         21.043199         0.002         0.003       
64          16        int32     sum       b         19.155200         0.003         0.006       
128         32        int32     sum       b         22.604799         0.006         0.011       
256         64        int32     sum       b         25.817600         0.010         0.019       
512         128       int32     sum       b         35.648000         0.014         0.027       
1024        256       int32     sum       b         53.881598         0.019         0.036       
2048        512       int32     sum       b         89.734399         0.023         0.043       
4096        1024      int32     sum       b         48.774400         0.084         0.157       
8192        2048      int32     sum       b         53.740799         0.152         0.286       
16384       4096      int32     sum       b         630.566406        0.026         0.049       
32768       8192      int32     sum       b         1164.704037       0.028         0.053       
65536       16384     int32     sum       b         2296.761513       0.029         0.054       
131072      32768     int32     sum       b         4585.542297       0.029         0.054       
262144      65536     int32     sum       b         9182.784271       0.029         0.054       
524288      131072    int32     sum       b         18374.707031      0.029         0.053       
1048576     262144    int32     sum       b         36746.112061      0.029         0.054       
2097152     524288    int32     sum       b         73560.949707      0.029         0.053       
4194304     1048576   int32     sum       b         148178.881836     0.028         0.053       
8388608     2097152   int32     sum       b         294515.527344     0.028         0.053       
16777216    4194304   int32     sum       b         589489.062500     0.028         0.053       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      b         45.548800         0.000         0.000       
8           2         int32     prod      b         19.244801         0.000         0.001       
16          4         int32     prod      b         19.283199         0.001         0.002       
32          8         int32     prod      b         20.691200         0.002         0.003       
64          16        int32     prod      b         19.481599         0.003         0.006       
128         32        int32     prod      b         18.822400         0.007         0.013       
256         64        int32     prod      b         18.988800         0.013         0.025       
512         128       int32     prod      b         20.620801         0.025         0.047       
1024        256       int32     prod      b         22.284800         0.046         0.086       
2048        512       int32     prod      b         25.606400         0.080         0.150       
4096        1024      int32     prod      b         48.512000         0.084         0.158       
8192        2048      int32     prod      b         53.337598         0.154         0.288       
16384       4096      int32     prod      b         635.033607        0.026         0.048       
32768       8192      int32     prod      b         1156.166363       0.028         0.053       
65536       16384     int32     prod      b         2311.231995       0.028         0.053       
131072      32768     int32     prod      b         4604.780960       0.028         0.053       
262144      65536     int32     prod      b         9225.113678       0.028         0.053       
524288      131072    int32     prod      b         18732.896423      0.028         0.052       
1048576     262144    int32     prod      b         36729.125977      0.029         0.054       
2097152     524288    int32     prod      b         73522.900391      0.029         0.053       
4194304     1048576   int32     prod      b         147819.531250     0.028         0.053       
8388608     2097152   int32     prod      b         293521.069336     0.029         0.054       
16777216    4194304   int32     prod      b         591163.427734     0.028         0.053       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       b         44.121599         0.000         0.000       
8           2         int32     and       b         19.116800         0.000         0.001       
16          4         int32     and       b         18.988800         0.001         0.002       
32          8         int32     and       b         19.014400         0.002         0.003       
64          16        int32     and       b         19.238400         0.003         0.006       
128         32        int32     and       b         19.001600         0.007         0.013       
256         64        int32     and       b         19.065601         0.013         0.025       
512         128       int32     and       b         20.620801         0.025         0.047       
1024        256       int32     and       b         20.704000         0.049         0.093       
2048        512       int32     and       b         25.567999         0.080         0.150       
4096        1024      int32     and       b         46.809599         0.088         0.164       
8192        2048      int32     and       b         53.420800         0.153         0.288       
16384       4096      int32     and       b         628.627205        0.026         0.049       
32768       8192      int32     and       b         1149.503994       0.029         0.053       
65536       16384     int32     and       b         2291.539192       0.029         0.054       
131072      32768     int32     and       b         4603.295898       0.028         0.053       
262144      65536     int32     and       b         9164.780426       0.029         0.054       
524288      131072    int32     and       b         18315.615845      0.029         0.054       
1048576     262144    int32     and       b         36650.573730      0.029         0.054       
2097152     524288    int32     and       b         73308.221436      0.029         0.054       
4194304     1048576   int32     and       b         146527.441406     0.029         0.054       
8388608     2097152   int32     and       b         293804.296875     0.029         0.054       
16777216    4194304   int32     and       b         588087.207031     0.029         0.053       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        b         45.433599         0.000         0.000       
8           2         int32     or        b         19.366400         0.000         0.001       
16          4         int32     or        b         20.640001         0.001         0.001       
32          8         int32     or        b         19.008000         0.002         0.003       
64          16        int32     or        b         18.988800         0.003         0.006       
128         32        int32     or        b         18.924800         0.007         0.013       
256         64        int32     or        b         19.328000         0.013         0.025       
512         128       int32     or        b         19.040000         0.027         0.050       
1024        256       int32     or        b         23.923200         0.043         0.080       
2048        512       int32     or        b         23.904000         0.086         0.161       
4096        1024      int32     or        b         46.758401         0.088         0.164       
8192        2048      int32     or        b         53.318399         0.154         0.288       
16384       4096      int32     or        b         628.531218        0.026         0.049       
32768       8192      int32     or        b         1151.097584       0.028         0.053       
65536       16384     int32     or        b         2301.222420       0.028         0.053       
131072      32768     int32     or        b         4590.169525       0.029         0.054       
262144      65536     int32     or        b         9223.628998       0.028         0.053       
524288      131072    int32     or        b         18470.764160      0.028         0.053       
1048576     262144    int32     or        b         36602.810669      0.029         0.054       
2097152     524288    int32     or        b         73395.208740      0.029         0.054       
4194304     1048576   int32     or        b         146473.876953     0.029         0.054       
8388608     2097152   int32     or        b         293079.125977     0.029         0.054       
16777216    4194304   int32     or        b         589696.728516     0.028         0.053       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       b         42.380801         0.000         0.000       
8           2         int32     xor       b         19.001600         0.000         0.001       
16          4         int32     xor       b         18.873601         0.001         0.002       
32          8         int32     xor       b         19.046400         0.002         0.003       
64          16        int32     xor       b         19.097599         0.003         0.006       
128         32        int32     xor       b         18.944000         0.007         0.013       
256         64        int32     xor       b         19.027200         0.013         0.025       
512         128       int32     xor       b         20.492800         0.025         0.047       
1024        256       int32     xor       b         22.316800         0.046         0.086       
2048        512       int32     xor       b         25.516799         0.080         0.150       
4096        1024      int32     xor       b         50.143999         0.082         0.153       
8192        2048      int32     xor       b         53.299201         0.154         0.288       
16384       4096      int32     xor       b         631.827211        0.026         0.049       
32768       8192      int32     xor       b         1147.993565       0.029         0.054       
65536       16384     int32     xor       b         2292.934418       0.029         0.054       
131072      32768     int32     xor       b         4578.656006       0.029         0.054       
262144      65536     int32     xor       b         9149.791718       0.029         0.054       
524288      131072    int32     xor       b         18292.051697      0.029         0.054       
1048576     262144    int32     xor       b         36588.186646      0.029         0.054       
2097152     524288    int32     xor       b         73244.476318      0.029         0.054       
4194304     1048576   int32     xor       b         146379.431152     0.029         0.054       
8388608     2097152   int32     xor       b         295011.743164     0.028         0.053       
16777216    4194304   int32     xor       b         587962.841797     0.029         0.054       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       b         45.593601         0.000         0.000       
8           2         int32     min       b         19.193600         0.000         0.001       
16          4         int32     min       b         19.065601         0.001         0.002       
32          8         int32     min       b         19.072001         0.002         0.003       
64          16        int32     min       b         18.963200         0.003         0.006       
128         32        int32     min       b         19.027200         0.007         0.013       
256         64        int32     min       b         18.950400         0.014         0.025       
512         128       int32     min       b         18.969600         0.027         0.051       
1024        256       int32     min       b         22.220799         0.046         0.086       
srun: forcing job termination
srun: got SIGCONT
srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** STEP 1427577.142 ON h200-bar-200-075 CANCELLED AT 2026-05-05T16:04:09 ***
2048        512       int32   srun: error: h200-bar-201-239: tasks 8-15: Killed
srun: error: h200-bar-200-075: tasks 0-7: Killed
srun: Force Terminated StepId=1427577.142
