Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
512         64        int64     max       t         67.737597         0.008         0.014       
1024        128       int64     max       t         98.777598         0.010         0.019       
2048        256       int64     max       t         160.294402        0.013         0.024       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       w         39.817601         0.000         0.000       
8           2         int32     sum       w         41.452801         0.000         0.000       
16          4         int32     sum       w         39.779201         0.000         0.001       
32          8         int32     sum       w         39.830399         0.001         0.002       
64          16        int32     sum       w         39.945599         0.002         0.003       
128         32        int32     sum       w         39.891201         0.003         0.006       
256         64        int32     sum       w         40.585601         0.006         0.012       
512         128       int32     sum       w         42.316800         0.012         0.023       
1024        256       int32     sum       w         47.167999         0.022         0.041       
2048        512       int32     sum       w         58.678401         0.035         0.065       
4096        1024      int32     sum       w         78.953600         0.052         0.097       
8192        2048      int32     sum       w         116.735995        0.070         0.132       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      w         39.100799         0.000         0.000       
8           2         int32     prod      w         39.804801         0.000         0.000       
16          4         int32     prod      w         40.828800         0.000         0.001       
32          8         int32     prod      w         39.868799         0.001         0.002       
64          16        int32     prod      w         39.011201         0.002         0.003       
128         32        int32     prod      w         42.287999         0.003         0.006       
256         64        int32     prod      w         39.897600         0.006         0.012       
512         128       int32     prod      w         43.123201         0.012         0.022       
1024        256       int32     prod      w         48.070401         0.021         0.040       
2048        512       int32     prod      w         58.646399         0.035         0.065       
4096        1024      int32     prod      w         77.523202         0.053         0.099       
8192        2048      int32     prod      w         116.028798        0.071         0.132       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       w         39.827201         0.000         0.000       
8           2         int32     and       w         39.865601         0.000         0.000       
16          4         int32     and       w         39.967999         0.000         0.001       
32          8         int32     and       w         38.956800         0.001         0.002       
64          16        int32     and       w         38.972801         0.002         0.003       
128         32        int32     and       w         39.872000         0.003         0.006       
256         64        int32     and       w         40.665600         0.006         0.012       
512         128       int32     and       w         43.100801         0.012         0.022       
1024        256       int32     and       w         48.819199         0.021         0.039       
2048        512       int32     and       w         57.840002         0.035         0.066       
4096        1024      int32     and       w         78.380799         0.052         0.098       
8192        2048      int32     and       w         117.631996        0.070         0.131       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        w         40.697601         0.000         0.000       
8           2         int32     or        w         39.807999         0.000         0.000       
16          4         int32     or        w         39.849600         0.000         0.001       
32          8         int32     or        w         39.046401         0.001         0.002       
64          16        int32     or        w         39.766401         0.002         0.003       
128         32        int32     or        w         39.056000         0.003         0.006       
256         64        int32     or        w         40.678400         0.006         0.012       
512         128       int32     or        w         43.158400         0.012         0.022       
1024        256       int32     or        w         48.873600         0.021         0.039       
2048        512       int32     or        w         56.972802         0.036         0.067       
4096        1024      int32     or        w         78.307199         0.052         0.098       
8192        2048      int32     or        w         122.560000        0.067         0.125       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       w         39.865601         0.000         0.000       
8           2         int32     xor       w         39.846399         0.000         0.000       
16          4         int32     xor       w         39.827201         0.000         0.001       
32          8         int32     xor       w         39.824000         0.001         0.002       
64          16        int32     xor       w         39.894399         0.002         0.003       
128         32        int32     xor       w         39.065599         0.003         0.006       
256         64        int32     xor       w         40.643200         0.006         0.012       
512         128       int32     xor       w         43.094400         0.012         0.022       
1024        256       int32     xor       w         47.235200         0.022         0.041       
2048        512       int32     xor       w         57.884800         0.035         0.066       
4096        1024      int32     xor       w         78.348798         0.052         0.098       
8192        2048      int32     xor       w         116.051197        0.071         0.132       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       w         38.953599         0.000         0.000       
8           2         int32     min       w         38.995200         0.000         0.000       
16          4         int32     min       w         38.979200         0.000         0.001       
32          8         int32     min       w         39.836800         0.001         0.002       
64          16        int32     min       w         39.872000         0.002         0.003       
128         32        int32     min       w         38.975999         0.003         0.006       
256         64        int32     min       w         40.662399         0.006         0.012       
512         128       int32     min       w         43.059200         0.012         0.022       
1024        256       int32     min       w         47.209600         0.022         0.041       
2048        512       int32     min       w         57.027203         0.036         0.067       
4096        1024      int32     min       w         77.503997         0.053         0.099       
8192        2048      int32     min       w         115.974402        0.071         0.132       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       w         40.633601         0.000         0.000       
8           2         int32     max       w         39.039999         0.000         0.000       
16          4         int32     max       w         38.931200         0.000         0.001       
32          8         int32     max       w         39.840001         0.001         0.002       
64          16        int32     max       w         38.979200         0.002         0.003       
128         32        int32     max       w         39.868799         0.003         0.006       
256         64        int32     max       w         40.720001         0.006         0.012       
512         128       int32     max       w         43.049601         0.012         0.022       
1024        256       int32     max       w         47.209600         0.022         0.041       
2048        512       int32     max       w         57.785600         0.035         0.066       
4096        1024      int32     max       w         78.358400         0.052         0.098       
8192        2048      int32     max       w         115.254402        0.071         0.133       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       w         38.947201         0.000         0.000       
16          2         int64     sum       w         39.769599         0.000         0.001       
32          4         int64     sum       w         39.862400         0.001         0.002       
64          8         int64     sum       w         39.878401         0.002         0.003       
128         16        int64     sum       w         39.849600         0.003         0.006       
256         32        int64     sum       w         39.039999         0.007         0.012       
512         64        int64     sum       w         39.855999         0.013         0.024       
1024        128       int64     sum       w         43.033600         0.024         0.045       
2048        256       int64     sum       w         48.092800         0.043         0.080       
4096        512       int64     sum       w         58.755201         0.070         0.131       
8192        1024      int64     sum       w         79.180801         0.103         0.194       
16384       2048      int64     sum       w         119.257605        0.137         0.258       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     prod      w         39.011201         0.000         0.000       
16          2         int64     prod      w         39.062399         0.000         0.001       
32          4         int64     prod      w         39.059201         0.001         0.002       
64          8         int64     prod      w         39.987200         0.002         0.003       
128         16        int64     prod      w         39.027199         0.003         0.006       
256         32        int64     prod      w         39.776000         0.006         0.012       
512         64        int64     prod      w         39.926401         0.013         0.024       
1024        128       int64     prod      w         43.110400         0.024         0.045       
2048        256       int64     prod      w         47.987199         0.043         0.080       
4096        512       int64     prod      w         58.739197         0.070         0.131       
8192        1024      int64     prod      w         77.542400         0.106         0.198       
16384       2048      int64     prod      w         116.908801        0.140         0.263       
#device_reduction
