Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
1024        256       int32     or        w         18.569601         0.055         0.097       
2048        512       int32     or        w         27.487999         0.075         0.130       
4096        1024      int32     or        w         41.503999         0.099         0.173       
8192        2048      int32     or        w         72.556800         0.113         0.198       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       w         11.913600         0.000         0.001       
8           2         int32     xor       w         11.974400         0.001         0.001       
16          4         int32     xor       w         11.948800         0.001         0.002       
32          8         int32     xor       w         12.716800         0.003         0.004       
64          16        int32     xor       w         11.948800         0.005         0.009       
128         32        int32     xor       w         12.038400         0.011         0.019       
256         64        int32     xor       w         12.793601         0.020         0.035       
512         128       int32     xor       w         15.196800         0.034         0.059       
1024        256       int32     xor       w         18.528000         0.055         0.097       
2048        512       int32     xor       w         27.443200         0.075         0.131       
4096        1024      int32     xor       w         41.548800         0.099         0.173       
8192        2048      int32     xor       w         72.614402         0.113         0.197       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       w         12.771200         0.000         0.001       
8           2         int32     min       w         12.822400         0.001         0.001       
16          4         int32     min       w         11.913600         0.001         0.002       
32          8         int32     min       w         11.961600         0.003         0.005       
64          16        int32     min       w         12.006400         0.005         0.009       
128         32        int32     min       w         11.955200         0.011         0.019       
256         64        int32     min       w         12.831999         0.020         0.035       
