Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32768       8192      int32     or        w         62.121600         0.527         0.495       
65536       16384     int32     or        w         61.436802         1.067         1.000       
131072      32768     int32     or        w         61.964798         2.115         1.983       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     xor       w         61.417598         0.001         0.001       
128         32        int32     xor       w         62.556797         0.002         0.002       
256         64        int32     xor       w         61.670399         0.004         0.004       
512         128       int32     xor       w         61.510402         0.008         0.008       
1024        256       int32     xor       w         61.884803         0.017         0.016       
2048        512       int32     xor       w         61.500800         0.033         0.031       
4096        1024      int32     xor       w         62.313598         0.066         0.062       
8192        2048      int32     xor       w         61.257601         0.134         0.125       
16384       4096      int32     xor       w         61.347198         0.267         0.250       
32768       8192      int32     xor       w         62.886399         0.521         0.488       
65536       16384     int32     xor       w         61.839998         1.060         0.994       
131072      32768     int32     xor       w         61.526400         2.130         1.997       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     min       w         62.284797         0.001         0.001       
128         32        int32     min       w         61.692798         0.002         0.002       
256         64        int32     min       w         62.995201         0.004         0.004       
512         128       int32     min       w         61.657602         0.008         0.008       
1024        256       int32     min       w         63.187200         0.016         0.015       
2048        512       int32     min       w         61.747199         0.033         0.031       
4096        1024      int32     min       w         61.955202         0.066         0.062       
8192        2048      int32     min       w         62.076801         0.132         0.124       
16384       4096      int32     min       w         62.483197         0.262         0.246       
32768       8192      int32     min       w         62.348801         0.526         0.493       
65536       16384     int32     min       w         61.580801         1.064         0.998       
131072      32768     int32     min       w         61.766398         2.122         1.989       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     max       w         61.430401         0.001         0.001       
128         32        int32     max       w         62.304002         0.002         0.002       
256         64        int32     max       w         60.889602         0.004         0.004       
512         128       int32     max       w         61.545599         0.008         0.008       
1024        256       int32     max       w         62.262398         0.016         0.015       
2048        512       int32     max       w         62.364799         0.033         0.031       
4096        1024      int32     max       w         63.161600         0.065         0.061       
8192        2048      int32     max       w         61.552000         0.133         0.125       
16384       4096      int32     max       w         61.776000         0.265         0.249       
32768       8192      int32     max       w         61.011201         0.537         0.504       
65536       16384     int32     max       w         61.488003         1.066         0.999       
131072      32768     int32     max       w         61.606401         2.128         1.995       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     sum       w         61.443198         0.002         0.002       
256         32        int64     sum       w         62.377602         0.004         0.004       
512         64        int64     sum       w         62.486398         0.008         0.008       
1024        128       int64     sum       w         62.841600         0.016         0.015       
2048        256       int64     sum       w         62.937599         0.033         0.031       
4096        512       int64     sum       w         61.769599         0.066         0.062       
8192        1024      int64     sum       w         62.323201         0.131         0.123       
16384       2048      int64     sum       w         62.131202         0.264         0.247       
32768       4096      int64     sum       w         64.086401         0.511         0.479       
65536       8192      int64     sum       w         61.657602         1.063         0.996       
131072      16384     int64     sum       w         61.292797         2.138         2.005       
