Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 5, warmup iterations: 2, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
256         64        int32     xor       w         14.144000         0.018         0.032       
512         128       int32     xor       w         15.846400         0.032         0.057       
1024        256       int32     xor       w         18.969600         0.054         0.094       
2048        512       int32     xor       w         28.704000         0.071         0.125       
4096        1024      int32     xor       w         42.124799         0.097         0.170       
8192        2048      int32     xor       w         73.088002         0.112         0.196       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       w         12.384000         0.000         0.001       
8           2         int32     min       w         14.067200         0.001         0.001       
16          4         int32     min       w         12.403200         0.001         0.002       
32          8         int32     min       w         12.556800         0.003         0.004       
64          16        int32     min       w         12.563200         0.005         0.009       
128         32        int32     min       w         12.377600         0.010         0.018       
256         64        int32     min       w         14.099200         0.018         0.032       
512         128       int32     min       w         15.692800         0.033         0.057       
1024        256       int32     min       w         19.161600         0.053         0.094       
2048        512       int32     min       w         27.385601         0.075         0.131       
4096        1024      int32     min       w         42.016000         0.097         0.171       
8192        2048      int32     min       w         73.036802         0.112         0.196       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       w         14.099200         0.000         0.000       
8           2         int32     max       w         12.492800         0.001         0.001       
16          4         int32     max       w         12.531200         0.001         0.002       
32          8         int32     max       w         12.364800         0.003         0.005       
64          16        int32     max       w         12.556800         0.005         0.009       
128         32        int32     max       w         12.659200         0.010         0.018       
256         64        int32     max       w         14.124800         0.018         0.032       
512         128       int32     max       w         15.731201         0.033         0.057       
1024        256       int32     max       w         19.923200         0.051         0.090       
2048        512       int32     max       w         27.097601         0.076         0.132       
4096        1024      int32     max       w         42.099199         0.097         0.170       
8192        2048      int32     max       w         73.145598         0.112         0.196       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       w         12.345600         0.001         0.001       
16          2         int64     sum       w         12.512000         0.001         0.002       
32          4         int64     sum       w         12.390400         0.003         0.005       
64          8         int64     sum       w         12.544000         0.005         0.009       
128         16        int64     sum       w         14.425600         0.009         0.016       
256         32        int64     sum       w         14.028800         0.018         0.032       
512         64        int64     sum       w         14.118400         0.036         0.063       
1024        128       int64     sum       w         15.788800         0.065         0.113       
2048        256       int64     sum       w         20.678400         0.099         0.173       
4096        512       int64     sum       w         28.992000         0.141         0.247       
8192        1024      int64     sum       w         43.660799         0.188         0.328       
16384       2048      int64     sum       w         76.447999         0.214         0.375       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     prod      w         14.041600         0.001         0.001       
16          2         int64     prod      w         12.556800         0.001         0.002       
32          4         int64     prod      w         12.979200         0.002         0.004       
64          8         int64     prod      w         12.390400         0.005         0.009       
128         16        int64     prod      w         12.467200         0.010         0.018       
256         32        int64     prod      w         12.505600         0.020         0.036       
512         64        int64     prod      w         14.227200         0.036         0.063       
1024        128       int64     prod      w         15.878400         0.064         0.113       
2048        256       int64     prod      w         20.601600         0.099         0.174       
4096        512       int64     prod      w         27.174401         0.151         0.264       
8192        1024      int64     prod      w         43.526399         0.188         0.329       
16384       2048      int64     prod      w         74.809599         0.219         0.383       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     and       w         12.390400         0.001         0.001       
16          2         int64     and       w         12.460800         0.001         0.002       
32          4         int64     and       w         12.492800         0.003         0.004       
64          8         int64     and       w         14.144000         0.005         0.008       
128         16        int64     and       w         12.627199         0.010         0.018       
256         32        int64     and       w         12.460800         0.021         0.036       
512         64        int64     and       w         14.150400         0.036         0.063       
1024        128       int64     and       w         15.680000         0.065         0.114       
2048        256       int64     and       w         20.691200         0.099         0.173       
4096        512       int64     and       w         27.379200         0.150         0.262       
8192        1024      int64     and       w         43.603200         0.188         0.329       
16384       2048      int64     and       w         74.809599         0.219         0.383       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     or        w         14.028800         0.001         0.001       
16          2         int64     or        w         12.582400         0.001         0.002       
32          4         int64     or        w         14.233600         0.002         0.004       
64          8         int64     or        w         12.467200         0.005         0.009       
128         16        int64     or        w         14.028800         0.009         0.016       
256         32        int64     or        w         12.544000         0.020         0.036       
512         64        int64     or        w         14.009599         0.037         0.064       
1024        128       int64     or        w         15.769599         0.065         0.114       
2048        256       int64     or        w         20.793600         0.098         0.172       
4096        512       int64     or        w         27.296001         0.150         0.263       
8192        1024      int64     or        w         45.203200         0.181         0.317       
16384       2048      int64     or        w         74.771202         0.219         0.383       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     xor       w         14.118400         0.001         0.001       
16          2         int64     xor       w         12.499200         0.001         0.002       
32          4         int64     xor       w         12.518400         0.003         0.004       
64          8         int64     xor       w         12.544000         0.005         0.009       
128         16        int64     xor       w         12.627199         0.010         0.018       
256         32        int64     xor       w         14.073600         0.018         0.032       
512         64        int64     xor       w         14.099200         0.036         0.064       
1024        128       int64     xor       w         15.635200         0.065         0.115       
2048        256       int64     xor       w         20.671999         0.099         0.173       
4096        512       int64     xor       w         27.251199         0.150         0.263       
8192        1024      int64     xor       w         43.801600         0.187         0.327       
16384       2048      int64     xor       w         74.771202         0.219         0.383       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     min       w         13.920000         0.001         0.001       
16          2         int64     min       w         12.428800         0.001         0.002       
32          4         int64     min       w         12.633599         0.003         0.004       
64          8         int64     min       w         12.576000         0.005         0.009       
128         16        int64     min       w         12.576000         0.010         0.018       
256         32        int64     min       w         12.396800         0.021         0.036       
512         64        int64     min       w         14.227200         0.036         0.063       
1024        128       int64     min       w         15.699200         0.065         0.114       
2048        256       int64     min       w         20.736000         0.099         0.173       
4096        512       int64     min       w         28.825599         0.142         0.249       
8192        1024      int64     min       w         43.654400         0.188         0.328       
16384       2048      int64     min       w         76.454401         0.214         0.375       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     max       w         12.441600         0.001         0.001       
16          2         int64     max       w         12.537600         0.001         0.002       
