Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4096        1024      int32     xor       b         4.560000          0.898         0.786       
8192        2048      int32     xor       b         4.569600          1.793         1.569       
16384       4096      int32     xor       b         4.608000          3.556         3.111       
32768       8192      int32     xor       b         4.956800          6.611         5.784       
65536       16384     int32     xor       b         4.598400          14.252        12.470      
131072      32768     int32     xor       b         4.387200          29.876        26.142      
262144      65536     int32     xor       b         4.540800          57.731        50.514      
524288      131072    int32     xor       b         4.521600          115.952       101.458     
1048576     262144    int32     xor       b         4.652800          225.365       197.194     
2097152     524288    int32     xor       b         4.569600          458.936       401.569     
4194304     1048576   int32     xor       b         4.563200          919.158       804.264     
8388608     2097152   int32     xor       b         4.524800          1853.918      1622.178    
16777216    4194304   int32     xor       b         4.544000          3692.169      3230.648    
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     min       b         4.608000          0.007         0.006       
64          16        int32     min       b         4.633600          0.014         0.012       
128         32        int32     min       b         4.486400          0.029         0.025       
256         64        int32     min       b         4.502400          0.057         0.050       
512         128       int32     min       b         4.566400          0.112         0.098       
1024        256       int32     min       b         4.643200          0.221         0.193       
2048        512       int32     min       b         4.572800          0.448         0.392       
4096        1024      int32     min       b         4.512000          0.908         0.794       
8192        2048      int32     min       b         4.544000          1.803         1.577       
16384       4096      int32     min       b         4.576000          3.580         3.133       
32768       8192      int32     min       b         4.707200          6.961         6.091       
65536       16384     int32     min       b         4.550400          14.402        12.602      
131072      32768     int32     min       b         4.569600          28.683        25.098      
262144      65536     int32     min       b         4.480000          58.514        51.200      
524288      131072    int32     min       b         4.835200          108.432       94.878      
1048576     262144    int32     min       b         4.633600          226.298       198.011     
2097152     524288    int32     min       b         4.553600          460.548       402.980     
4194304     1048576   int32     min       b         4.556800          920.449       805.393     
8388608     2097152   int32     min       b         4.553600          1842.193      1611.918    
16777216    4194304   int32     min       b         4.588800          3656.123      3199.107    
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
32          8         int32     max       b         4.611200          0.007         0.006       
64          16        int32     max       b         4.544000          0.014         0.012       
128         32        int32     max       b         4.553600          0.028         0.025       
256         64        int32     max       b         4.518400          0.057         0.050       
512         128       int32     max       b         4.579200          0.112         0.098       
1024        256       int32     max       b         4.608000          0.222         0.194       
2048        512       int32     max       b         4.492800          0.456         0.399       
4096        1024      int32     max       b         4.582400          0.894         0.782       
8192        2048      int32     max       b         4.531200          1.808         1.582       
16384       4096      int32     max       b         4.924800          3.327         2.911       
