Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8192        2048      int32     and       w         62.569600         0.131         0.123       
16384       4096      int32     and       w         63.296002         0.259         0.243       
32768       8192      int32     and       w         63.388801         0.517         0.485       
65536       16384     int32     and       w         63.545603         1.031         0.967       
131072      32768     int32     and       w         62.195200         2.107         1.976       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     or        w         63.814402         0.001         0.001       
128         32        int32     or        w         63.337600         0.002         0.002       
256         64        int32     or        w         62.851202         0.004         0.004       
512         128       int32     or        w         62.950402         0.008         0.008       
1024        256       int32     or        w         62.419200         0.016         0.015       
2048        512       int32     or        w         62.966400         0.033         0.030       
4096        1024      int32     or        w         62.892801         0.065         0.061       
8192        2048      int32     or        w         65.910399         0.124         0.117       
16384       4096      int32     or        w         63.916802         0.256         0.240       
32768       8192      int32     or        w         63.862401         0.513         0.481       
65536       16384     int32     or        w         63.881600         1.026         0.962       
131072      32768     int32     or        w         64.067203         2.046         1.918       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     xor       w         63.670403         0.001         0.001       
128         32        int32     xor       w         63.267201         0.002         0.002       
256         64        int32     xor       w         62.480003         0.004         0.004       
512         128       int32     xor       w         62.713599         0.008         0.008       
1024        256       int32     xor       w         63.507199         0.016         0.015       
2048        512       int32     xor       w         63.571203         0.032         0.030       
4096        1024      int32     xor       w         63.241601         0.065         0.061       
8192        2048      int32     xor       w         62.771201         0.131         0.122       
16384       4096      int32     xor       w         63.814402         0.257         0.241       
32768       8192      int32     xor       w         63.596803         0.515         0.483       
65536       16384     int32     xor       w         64.230400         1.020         0.957       
131072      32768     int32     xor       w         63.084799         2.078         1.948       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     min       w         63.926399         0.001         0.001       
128         32        int32     min       w         63.292801         0.002         0.002       
256         64        int32     min       w         63.219202         0.004         0.004       
512         128       int32     min       w         63.350397         0.008         0.008       
1024        256       int32     min       w         65.721601         0.016         0.015       
2048        512       int32     min       w         63.612801         0.032         0.030       
4096        1024      int32     min       w         63.088000         0.065         0.061       
8192        2048      int32     min       w         62.224001         0.132         0.123       
16384       4096      int32     min       w         63.452798         0.258         0.242       
32768       8192      int32     min       w         62.659198         0.523         0.490       
65536       16384     int32     min       w         62.758398         1.044         0.979       
131072      32768     int32     min       w         62.454402         2.099         1.968       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     max       w         63.142401         0.001         0.001       
128         32        int32     max       w         62.720001         0.002         0.002       
256         64        int32     max       w         63.888001         0.004         0.004       
512         128       int32     max       w         62.438399         0.008         0.008       
1024        256       int32     max       w         62.278402         0.016         0.015       
2048        512       int32     max       w         63.305598         0.032         0.030       
4096        1024      int32     max       w         64.099199         0.064         0.060       
8192        2048      int32     max       w         63.222402         0.130         0.121       
16384       4096      int32     max       w         63.683200         0.257         0.241       
32768       8192      int32     max       w         63.174403         0.519         0.486       
65536       16384     int32     max       w         64.518398         1.016         0.952       
131072      32768     int32     max       w         63.254398         2.072         1.943       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     sum       w         63.407999         0.002         0.002       
256         32        int64     sum       w         63.795203         0.004         0.004       
512         64        int64     sum       w         62.800002         0.008         0.008       
1024        128       int64     sum       w         63.721597         0.016         0.015       
2048        256       int64     sum       w         63.187200         0.032         0.030       
4096        512       int64     sum       w         64.332801         0.064         0.060       
8192        1024      int64     sum       w         64.271998         0.127         0.119       
16384       2048      int64     sum       w         62.556797         0.262         0.246       
32768       4096      int64     sum       w         63.241601         0.518         0.486       
65536       8192      int64     sum       w         63.347203         1.035         0.970       
131072      16384     int64     sum       w         63.734400         2.057         1.928       
262144      32768     int64     sum       w         63.231999         4.146         3.887       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     prod      w         63.423997         0.002         0.002       
256         32        int64     prod      w         63.254398         0.004         0.004       
512         64        int64     prod      w         62.803203         0.008         0.008       
1024        128       int64     prod      w         63.827199         0.016         0.015       
2048        256       int64     prod      w         62.364799         0.033         0.031       
4096        512       int64     prod      w         64.240003         0.064         0.060       
8192        1024      int64     prod      w         64.489597         0.127         0.119       
16384       2048      int64     prod      w         62.911999         0.260         0.244       
32768       4096      int64     prod      w         63.254398         0.518         0.486       
65536       8192      int64     prod      w         63.145602         1.038         0.973       
131072      16384     int64     prod      w         62.723202         2.090         1.959       
262144      32768     int64     prod      w         62.812799         4.173         3.913       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     and       w         64.384001         0.002         0.002       
256         32        int64     and       w         62.675202         0.004         0.004       
512         64        int64     and       w         62.707198         0.008         0.008       
1024        128       int64     and       w         62.924802         0.016         0.015       
2048        256       int64     and       w         63.580799         0.032         0.030       
4096        512       int64     and       w         63.308799         0.065         0.061       
8192        1024      int64     and       w         63.859200         0.128         0.120       
16384       2048      int64     and       w         62.457597         0.262         0.246       
32768       4096      int64     and       w         62.838399         0.521         0.489       
65536       8192      int64     and       w         63.103998         1.039         0.974       
131072      16384     int64     and       w         63.875198         2.052         1.924       
262144      32768     int64     and       w         62.796801         4.174         3.914       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     or        w         64.118397         0.002         0.002       
256         32        int64     or        w         62.521601         0.004         0.004       
512         64        int64     or        w         62.911999         0.008         0.008       
1024        128       int64     or        w         63.436800         0.016         0.015       
2048        256       int64     or        w         62.732798         0.033         0.031       
4096        512       int64     or        w         62.409598         0.066         0.062       
8192        1024      int64     or        w         63.110399         0.130         0.122       
16384       2048      int64     or        w         62.867200         0.261         0.244       
32768       4096      int64     or        w         62.860799         0.521         0.489       
65536       8192      int64     or        w         63.081598         1.039         0.974       
131072      16384     int64     or        w         62.825602         2.086         1.956       
262144      32768     int64     or        w         63.183999         4.149         3.890       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     xor       w         63.891202         0.002         0.002       
256         32        int64     xor       w         63.356799         0.004         0.004       
512         64        int64     xor       w         62.857598         0.008         0.008       
1024        128       int64     xor       w         63.123202         0.016         0.015       
2048        256       int64     xor       w         63.334399         0.032         0.030       
4096        512       int64     xor       w         63.628799         0.064         0.060       
8192        1024      int64     xor       w         63.782400         0.128         0.120       
16384       2048      int64     xor       w         63.513601         0.258         0.242       
32768       4096      int64     xor       w         63.417602         0.517         0.484       
65536       8192      int64     xor       w         63.276798         1.036         0.971       
131072      16384     int64     xor       w         63.977599         2.049         1.921       
262144      32768     int64     xor       w         63.292801         4.142         3.883       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     min       w         63.923198         0.002         0.002       
256         32        int64     min       w         63.260800         0.004         0.004       
512         64        int64     min       w         64.150399         0.008         0.007       
1024        128       int64     min       w         63.187200         0.016         0.015       
2048        256       int64     min       w         63.503999         0.032         0.030       
4096        512       int64     min       w         63.814402         0.064         0.060       
8192        1024      int64     min       w         63.753599         0.128         0.120       
16384       2048      int64     min       w         63.721597         0.257         0.241       
32768       4096      int64     min       w         64.393598         0.509         0.477       
65536       8192      int64     min       w         63.353598         1.034         0.970       
131072      16384     int64     min       w         64.095998         2.045         1.917       
262144      32768     int64     min       w         63.375998         4.136         3.878       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
128         16        int64     max       w         63.238400         0.002         0.002       
256         32        int64     max       w         63.244802         0.004         0.004       
512         64        int64     max       w         63.785601         0.008         0.008       
1024        128       int64     max       w         63.315201         0.016         0.015       
2048        256       int64     max       w         63.625598         0.032         0.030       
4096        512       int64     max       w         63.929600         0.064         0.060       
8192        1024      int64     max       w         63.318402         0.129         0.121       
16384       2048      int64     max       w         64.892799         0.252         0.237       
32768       4096      int64     max       w         64.367998         0.509         0.477       
65536       8192      int64     max       w         64.288002         1.019         0.956       
131072      16384     int64     max       w         64.630401         2.028         1.901       
262144      32768     int64     max       w         63.510400         4.128         3.870       
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     sum       b         61.536002         0.001         0.001       
128         32        int32     sum       b         60.515201         0.002         0.002       
256         64        int32     sum       b         60.806400         0.004         0.004       
512         128       int32     sum       b         61.382401         0.008         0.008       
1024        256       int32     sum       b         63.292801         0.016         0.015       
2048        512       int32     sum       b         61.369598         0.033         0.031       
4096        1024      int32     sum       b         60.611200         0.068         0.063       
8192        2048      int32     sum       b         60.608000         0.135         0.127       
16384       4096      int32     sum       b         62.067199         0.264         0.247       
32768       8192      int32     sum       b         61.452800         0.533         0.500       
65536       16384     int32     sum       b         60.556799         1.082         1.015       
131072      32768     int32     sum       b         60.515201         2.166         2.031       
262144      65536     int32     sum       b         61.337602         4.274         4.007       
524288      131072    int32     sum       b         60.857600         8.615         8.077       
1048576     262144    int32     sum       b         61.062402         17.172        16.099      
2097152     524288    int32     sum       b         60.982400         34.389        32.240      
4194304     1048576   int32     sum       b         61.199999         68.534        64.251      
8388608     2097152   int32     sum       b         63.465601         132.176       123.915     
16777216    4194304   int32     sum       b         60.864002         275.651       258.423     
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     prod      b         61.417598         0.001         0.001       
128         32        int32     prod      b         60.953599         0.002         0.002       
256         64        int32     prod      b         61.238402         0.004         0.004       
512         128       int32     prod      b         60.774398         0.008         0.008       
1024        256       int32     prod      b         61.014402         0.017         0.016       
2048        512       int32     prod      b         60.892802         0.034         0.032       
4096        1024      int32     prod      b         61.280000         0.067         0.063       
8192        2048      int32     prod      b         60.847998         0.135         0.126       
16384       4096      int32     prod      b         60.454398         0.271         0.254       
32768       8192      int32     prod      b         60.540801         0.541         0.507       
65536       16384     int32     prod      b         60.598397         1.081         1.014       
131072      32768     int32     prod      b         61.446398         2.133         2.000       
262144      65536     int32     prod      b         60.921597         4.303         4.034       
524288      131072    int32     prod      b         61.209601         8.565         8.030       
1048576     262144    int32     prod      b         61.475199         17.057        15.991      
2097152     524288    int32     prod      b         61.020797         34.368        32.220      
4194304     1048576   int32     prod      b         61.043203         68.710        64.416      
8388608     2097152   int32     prod      b         60.924798         137.688       129.082     
16777216    4194304   int32     prod      b         61.232001         273.994       256.870     
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     and       b         61.318398         0.001         0.001       
128         32        int32     and       b         60.966402         0.002         0.002       
256         64        int32     and       b         61.084801         0.004         0.004       
512         128       int32     and       b         61.187202         0.008         0.008       
1024        256       int32     and       b         61.542398         0.017         0.016       
2048        512       int32     and       b         60.960001         0.034         0.031       
4096        1024      int32     and       b         61.257601         0.067         0.063       
8192        2048      int32     and       b         61.283201         0.134         0.125       
16384       4096      int32     and       b         60.908800         0.269         0.252       
32768       8192      int32     and       b         60.879999         0.538         0.505       
65536       16384     int32     and       b         60.716802         1.079         1.012       
131072      32768     int32     and       b         61.475199         2.132         1.999       
262144      65536     int32     and       b         61.852801         4.238         3.973       
524288      131072    int32     and       b         62.201601         8.429         7.902       
1048576     262144    int32     and       b         60.207999         17.416        16.327      
2097152     524288    int32     and       b         61.737603         33.969        31.846      
4194304     1048576   int32     and       b         60.662401         69.142        64.820      
8388608     2097152   int32     and       b         61.126399         137.234       128.657     
16777216    4194304   int32     and       b         60.780799         276.028       258.776     
#device_reducescatter
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
64          16        int32     or        b         62.003201         0.001         0.001       
128         32        int32     or        b         61.008000         0.002         0.002       
256         64        int32     or        b         61.123198         0.004         0.004       
512         128       int32     or        b         61.040002         0.008         0.008       
1024        256       int32     or        b         60.665601         0.017         0.016       
2048        512       int32     or        b         61.071998         0.034         0.031       
4096        1024      int32     or        b         60.671997         0.068         0.063       
8192        2048      int32     or        b         61.769599         0.133         0.124       
