Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
2048        256       int64     min       t         110.319996        0.019         0.032       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     max       t         11.939200         0.001         0.001       
16          2         int64     max       t         11.990400         0.001         0.002       
32          4         int64     max       t         12.739199         0.003         0.004       
64          8         int64     max       t         13.711999         0.005         0.008       
128         16        int64     max       t         16.908801         0.008         0.013       
256         32        int64     max       t         22.665600         0.011         0.020       
512         64        int64     max       t         35.721600         0.014         0.025       
1024        128       int64     max       t         60.332799         0.017         0.030       
2048        256       int64     max       t         110.374403        0.019         0.032       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     sum       w         12.912001         0.000         0.001       
8           2         int32     sum       w         12.038400         0.001         0.001       
16          4         int32     sum       w         12.038400         0.001         0.002       
32          8         int32     sum       w         11.993600         0.003         0.005       
64          16        int32     sum       w         12.051200         0.005         0.009       
128         32        int32     sum       w         12.086400         0.011         0.019       
256         64        int32     sum       w         12.844799         0.020         0.035       
512         128       int32     sum       w         16.028801         0.032         0.056       
1024        256       int32     sum       w         18.576001         0.055         0.096       
2048        512       int32     sum       w         27.568001         0.074         0.130       
4096        1024      int32     sum       w         42.399999         0.097         0.169       
8192        2048      int32     sum       w         72.572798         0.113         0.198       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     prod      w         11.942400         0.000         0.001       
8           2         int32     prod      w         11.936000         0.001         0.001       
16          4         int32     prod      w         12.070400         0.001         0.002       
32          8         int32     prod      w         12.073600         0.003         0.005       
64          16        int32     prod      w         12.044800         0.005         0.009       
128         32        int32     prod      w         11.955200         0.011         0.019       
256         64        int32     prod      w         12.844799         0.020         0.035       
512         128       int32     prod      w         15.244800         0.034         0.059       
1024        256       int32     prod      w         18.630400         0.055         0.096       
2048        512       int32     prod      w         27.564800         0.074         0.130       
4096        1024      int32     prod      w         42.428800         0.097         0.169       
8192        2048      int32     prod      w         72.604799         0.113         0.197       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     and       w         12.054400         0.000         0.001       
8           2         int32     and       w         12.070400         0.001         0.001       
16          4         int32     and       w         12.035200         0.001         0.002       
32          8         int32     and       w         11.926400         0.003         0.005       
64          16        int32     and       w         12.016000         0.005         0.009       
128         32        int32     and       w         12.022400         0.011         0.019       
256         64        int32     and       w         12.822400         0.020         0.035       
512         128       int32     and       w         15.302400         0.033         0.059       
1024        256       int32     and       w         18.524800         0.055         0.097       
2048        512       int32     and       w         27.571201         0.074         0.130       
4096        1024      int32     and       w         42.345601         0.097         0.169       
8192        2048      int32     and       w         71.788800         0.114         0.200       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     or        w         12.432000         0.000         0.001       
8           2         int32     or        w         11.990400         0.001         0.001       
16          4         int32     or        w         12.070400         0.001         0.002       
32          8         int32     or        w         12.060800         0.003         0.005       
64          16        int32     or        w         11.961600         0.005         0.009       
128         32        int32     or        w         11.932800         0.011         0.019       
256         64        int32     or        w         12.870400         0.020         0.035       
512         128       int32     or        w         15.305600         0.033         0.059       
1024        256       int32     or        w         18.601599         0.055         0.096       
2048        512       int32     or        w         27.523199         0.074         0.130       
4096        1024      int32     or        w         42.335999         0.097         0.169       
8192        2048      int32     or        w         71.836799         0.114         0.200       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     xor       w         11.984000         0.000         0.001       
8           2         int32     xor       w         12.070400         0.001         0.001       
16          4         int32     xor       w         11.977600         0.001         0.002       
32          8         int32     xor       w         12.000000         0.003         0.005       
64          16        int32     xor       w         11.987200         0.005         0.009       
128         32        int32     xor       w         11.945600         0.011         0.019       
256         64        int32     xor       w         12.899201         0.020         0.035       
512         128       int32     xor       w         15.312000         0.033         0.059       
1024        256       int32     xor       w         18.531200         0.055         0.097       
2048        512       int32     xor       w         27.542400         0.074         0.130       
4096        1024      int32     xor       w         42.755201         0.096         0.168       
8192        2048      int32     xor       w         72.604799         0.113         0.197       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     min       w         12.777600         0.000         0.001       
8           2         int32     min       w         12.032000         0.001         0.001       
16          4         int32     min       w         12.032000         0.001         0.002       
32          8         int32     min       w         12.092800         0.003         0.005       
64          16        int32     min       w         12.032000         0.005         0.009       
128         32        int32     min       w         11.945600         0.011         0.019       
256         64        int32     min       w         12.864000         0.020         0.035       
512         128       int32     min       w         15.254401         0.034         0.059       
1024        256       int32     min       w         18.595199         0.055         0.096       
2048        512       int32     min       w         27.638400         0.074         0.130       
4096        1024      int32     min       w         42.256001         0.097         0.170       
8192        2048      int32     min       w         72.537601         0.113         0.198       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
4           1         int32     max       w         11.996800         0.000         0.001       
8           2         int32     max       w         12.092800         0.001         0.001       
16          4         int32     max       w         12.000000         0.001         0.002       
32          8         int32     max       w         11.987200         0.003         0.005       
64          16        int32     max       w         11.980800         0.005         0.009       
128         32        int32     max       w         12.028800         0.011         0.019       
256         64        int32     max       w         12.838399         0.020         0.035       
512         128       int32     max       w         15.267199         0.034         0.059       
1024        256       int32     max       w         18.582401         0.055         0.096       
2048        512       int32     max       w         27.564800         0.074         0.130       
4096        1024      int32     max       w         42.339200         0.097         0.169       
8192        2048      int32     max       w         71.852797         0.114         0.200       
#device_reduction
size(B)     count     type      redop     scope     latency(us)       algbw(GB/s)   busbw(GB/s) 
8           1         int64     sum       w         12.028800         0.001         0.001       
16          2         int64     sum       w         12.112000         0.001         0.002       
32          4         int64     sum       w         12.048000         0.003         0.005       
64          8         int64     sum       w         12.044800         0.005         0.009       
128         16        int64     sum       w         12.035200         0.011         0.019       
